starttime,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel
1294237180.98,00:1C:F0:CB:EC:5B,-67,00:1C:F0:CB:EC:92,-70,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,,,
1294237203.92,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:92,-58,00:19:5B:77:A5:EE,-80,,,,,,,,,,,,,,,,,,
1294237226.75,00:1C:F0:CB:EC:5B,-60,00:1C:F0:CB:EC:92,-75,,,,,,,,,,,,,,,,,,,,
1294237249.61,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:95,-83,,,,,,,,,,,,,,,,,,,,
1294237292.54,00:1C:F0:CB:EC:92,-60,00:1C:F0:CB:EC:89,-72,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294237315.47,00:1C:F0:CB:EC:92,-70,00:1C:F0:CB:EC:89,-69,00:0C:42:68:DE:D3,-83,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-73,,,,,,,,,,,,,,
1294237338.42,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:95,-83,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,,,
1294237361.37,00:1C:F0:CB:EC:92,-73,00:15:6D:65:17:B6,-77,,,,,,,,,,,,,,,,,,,,
1294237384.21,00:1C:F0:CB:EC:89,-67,00:1C:F0:CB:EC:5B,-82,,,,,,,,,,,,,,,,,,,,
1294237407.17,00:1C:F0:CB:EC:89,-80,00:1C:F0:CB:EC:5B,-63,00:15:6D:65:17:B6,-74,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,
1294237430.11,00:1C:F0:CB:EC:5B,-68,00:15:6D:65:17:B6,-74,00:1C:F0:CB:EC:92,-69,,,,,,,,,,,,,,,,,,
1294237473.13,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294237496.07,00:1C:F0:CB:EC:95,-81,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:89,-75,,,,,,,,,,,,,,,,,,
