TimeMs,00:1c:f0:cb:ec:95.APRSSI
1305180441215,-87
1305180443828,-87
1305180447241,-92
1305180449743,-92
1305180452278,-87
1305180455215,-88
1305180457818,-85
1305180460456,-85
1305180463289,-86
1305180466383,-88
1305180469304,-86
1305180471668,-86
1305180473870,-85
1305180476825,-86
1305180479271,-86
1305180483316,-89
1305180488179,-87
1305180490686,-87
1305180493810,-88
1305180497036,-85
1305180499883,-85
1305180502267,-87
1305180504992,-89
1305180507627,-86
1305180510081,-92
1305180512423,-86
1305180514913,-85
1305180517921,-84
1305180520220,-84
1305180523010,-92
1305180525276,-92
1305180528931,-90
1305180532519,-91
1305180534661,-91
1305180537179,-92
1305180539781,-92
1305180542321,-89
1305180545088,-87
1305180547959,-86
1305180550790,-90
1305180553153,-90
1305180555560,-87
1305180558150,-88
1305180561160,-92
1305180563379,-92
1305180565799,-86
1305180568580,-86
1305180572463,-88
1305180575498,-88
1305180577961,-90
1305180581034,-92
1305180583292,-92
1305180585701,-87
1305180588191,-87
1305180590675,-92
1305180593449,-87
1305180595931,-87
1305180598837,-87
1305180600927,-87
1305180603602,-87
1305180605967,-86
1305180608503,-88
1305180611360,-88
1305180615732,-83
1305180618282,-83
1305180626986,-86
1305180629959,-89
1305180633619,-89
1305180636320,-86
1305180638939,-85
1305180641883,-90
1305180644751,-86
1305180647662,-92
1305180650329,-84
1305180652748,-84
1305180655686,-92
1305180657936,-92
1305180660882,-92
1305180663500,-92
1305180670391,-85
1305180672462,-85
1305180675281,-84
1305180678736,-92
1305180683335,-89
1305180685952,-89
1305180688558,-85
1305180691230,-92
1305180693878,-84
1305180696326,-86
1305180698822,-86
1305180701282,-86
1305180703979,-82
1305180706109,-82
1305180708573,-86
1305180710709,-86
1305180715261,-86
1305180717724,-86
1305180722173,-85
1305180724524,-85
1305180727316,-87
1305180730287,-88
1305180732414,-88
1305180734914,-87
1305180737440,-86
1305180740604,-86
1305180742963,-86
1305180745468,-86
1305180747870,-86
1305180750329,-85
1305180752766,-85
1305180755129,-85
1305180759452,-87
1305180762402,-87
1305180765941,-87
1305180768271,-87
1305180770685,-86
1305180773729,-87
1305180775776,-87
1305180778148,-88
1305180781040,-86
1305180783677,-88
1305180786247,-88
1305180789069,-87
1305180791654,-87
1305180794238,-88
1305180796970,-84
1305180799225,-92
1305180803263,-92
1305180806098,-92
1305180809684,-84
1305180812328,-84
1305180815209,-87
1305180817971,-86
1305180820470,-86
1305180823197,-86
1305180825904,-86
1305180828538,-87
1305180831096,-87
1305180833815,-86
1305180836830,-86
1305180839709,-90
1305180842285,-88
1305180844589,-86
1305180848420,-88
1305180851179,-87
1305180854023,-86
1305180856944,-86
1305180859578,-86
1305180863125,-90
1305180866783,-92
1305180869251,-92
1305180871706,-92
1305180873939,-89
1305180876092,-85
1305180878677,-84
1305180881335,-84
1305180883877,-87
1305180886663,-85
1305180889178,-89
1305180893064,-85
1305180896056,-87
1305180898764,-85
1305180901863,-89
1305180904909,-87
1305180907772,-86
1305180910305,-86
1305180912730,-88
1305180915266,-84
1305180917632,-89
1305180919560,-90
1305180922742,-86
1305180925276,-86
1305180930518,-86
1305180933422,-87
1305180936174,-87
1305180940550,-85
1305180943353,-89
1305180946142,-87
1305180948811,-87
1305180951396,-87
1305180954255,-88
1305180956734,-88
1305180959257,-88
1305180961770,-88
1305180964171,-88
1305180966759,-88
1305180969251,-86
1305180972057,-88
1305180975827,-87
1305180978613,-89
1305180980878,-89
1305180985246,-86
1305180988608,-86
1305180991626,-92
1305180994170,-92
1305180996727,-87
1305180999707,-85
1305181002676,-85
1305181005747,-88
1305181008652,-88
1305181011436,-90
1305181013986,-88
1305181016382,-88
1305181019003,-86
1305181022339,-87
1305181025223,-87
1305181027948,-89
1305181032121,-87
1305181034932,-87
1305181037905,-87
1305181040678,-89
1305181042501,-87
1305181044740,-86
1305181047504,-92
1305181051408,-94
1305181054168,-90
1305181056797,-92
1305181059265,-87
1305181061824,-87
1305181064404,-88
1305181067369,-87
1305181070409,-89
1305181073445,-89
1305181075898,-89
1305181080119,-88
1305181083487,-88
1305181086790,-92
1305181089060,-92
1305181091397,-87
1305181093616,-92
1305181096663,-86
1305181099390,-86
1305181101993,-87
1305181103917,-89
1305181106414,-90
1305181108747,-92
1305181112533,-92
1305181115403,-88
1305181120210,-86
1305181123318,-86
1305181125987,-86
1305181128383,-92
1305181132219,-85
1305181135002,-92
1305181137303,-87
1305181139942,-87
1305181142710,-88
1305181144916,-87
1305181147760,-87
1305181150388,-88
1305181152711,-88
1305181155161,-90
1305181158415,-88
1305181160579,-88
1305181164373,-88
1305181166357,-88
1305181169283,-87
1305181174618,-88
1305181177495,-88
1305181180119,-96
1305181183571,-86
1305181186195,-86
1305181189035,-86
1305181191463,-86
1305181193857,-89
1305181196412,-87
1305181199231,-87
1305181201870,-87
1305181204270,-87
1305181206748,-89
1305181209501,-92
1305181211937,-92
1305181214863,-89
1305181219044,-88
1305181222241,-88
1305181224736,-87
1305181227175,-85
1305181230008,-90
1305181238328,-90
1305181241410,-87
1305181245015,-86
1305181247797,-86
1305181250556,-88
1305181253161,-87
1305181255933,-92
1305181258336,-88
1305181261018,-87
1305181263638,-87
1305181266424,-86
1305181268942,-86
1305181271793,-87
1305181275215,-88
1305181277789,-88
1305181280470,-88
1305181283418,-90
1305181288033,-84
1305181291009,-92
1305181296152,-92
1305181299236,-87
1305181302226,-87
1305181304881,-87
1305181307399,-87
1305181310122,-89
1305181312984,-89
1305181315941,-87
1305181318247,-86
1305181320887,-88
1305181323633,-88
1305181326459,-87
1305181328861,-89
1305181331592,-89
1305181334762,-86
1305181337732,-86
1305181340572,-87
1305181344101,-87
1305181348363,-88
1305181351096,-88
1305181353009,-87
1305181357148,-87
1305181359700,-92
1305181362312,-87
1305181366222,-87
1305181369013,-88
1305181371511,-88
1305181373817,-87
1305181376581,-88
1305181379196,-89
1305181381833,-88
1305181384371,-87
1305181386818,-88
1305181389310,-92
1305181391473,-88
1305181393638,-87
1305181396599,-87
1305181399121,-86
1305181402841,-86
1305181406297,-88
1305181408615,-88
1305181411275,-86
1305181413971,-88
1305181417977,-88
1305181420262,-88
1305181422755,-87
1305181425726,-87
1305181428290,-87
1305181430759,-86
1305181433620,-87
1305181436135,-86
1305181438552,-86
1305181441069,-87
1305181443678,-86
1305181446351,-89
1305181449030,-87
1305181451396,-87
1305181453478,-88
1305181457060,-87
1305181460666,-88
1305181463315,-88
1305181465884,-89
1305181468780,-88
1305181471538,-88
1305181474137,-90
1305181476911,-86
1305181482747,-86
1305181485935,-86
1305181488333,-86
1305181492282,-85
1305181494879,-85
1305181497458,-87
1305181500247,-92
1305181502818,-92
1305181505245,-89
1305181507530,-88
1305181509993,-90
1305181512490,-92
1305181515886,-85
1305181518635,-89
1305181521012,-89
1305181523380,-87
1305181526238,-85
1305181529441,-87
1305181534480,-88
1305181537173,-88
1305181540770,-87
1305181542653,-87
1305181544993,-86
1305181548757,-87
1305181551275,-92
1305181553655,-86
1305181555889,-92
1305181557997,-88
1305181560398,-87
1305181562727,-89
1305181564993,-88
1305181568534,-92
1305181571624,-92
1305181574506,-87
1305181577014,-89
1305181579831,-88
1305181582690,-86
1305181586216,-85
1305181589607,-87
1305181592147,-87
1305181594759,-86
1305181598273,-88
1305181603460,-88
1305181606065,-88
1305181609652,-89
1305181612201,-89
1305181614760,-85
1305181617348,-88
1305181620180,-87
1305181622798,-92
1305181626635,-88
1305181629359,-86
1305181631740,-86
1305181634241,-87
1305181636930,-92
1305181639057,-92
1305181642049,-87
1305181644845,-89
1305181647529,-89
1305181650285,-92
1305181653722,-87
1305181656520,-87
1305181658789,-87
1305181661573,-87
1305181664106,-88
1305181666518,-88
1305181669052,-85
1305181671870,-87
1305181674690,-88
1305181678218,-87
1305181680936,-87
1305181683435,-85
1305181685742,-86
1305181688142,-92
1305181690264,-85
1305181692849,-88
1305181695601,-85
1305181698385,-92
1305181700501,-92
1305181703344,-89
1305181706025,-89
1305181709167,-84
1305181711177,-84
1305181714101,-87
1305181716099,-87
1305181718483,-89
1305181721480,-88
1305181726363,-85
1305181729997,-92
1305181732929,-92
1305181735619,-88
1305181738169,-84
1305181740882,-88
1305181743621,-87
1305181746330,-86
1305181749458,-92
1305181752318,-92
1305181755056,-86
1305181757939,-87
1305181760379,-87
1305181763258,-85
1305181765575,-85
1305181768320,-85
1305181770888,-85
1305181773758,-85
1305181777376,-86
1305181779556,-86
1305181783749,-87
1305181787681,-87
1305181790729,-88
1305181793343,-87
1305181796215,-87
1305181798765,-87
1305181801620,-82
1305181804365,-87
1305181807161,-85
1305181809620,-85
1305181811988,-86
1305181814387,-85
1305181817110,-87
1305181819510,-87
1305181822081,-86
1305181824556,-86
1305181826952,-87
1305181829818,-88
1305181832063,-88
1305181836373,-88
1305181839581,-84
1305181841585,-84
1305181844155,-86
1305181848183,-87
1305181850836,-87
1305181853564,-86
1305181856314,-87
1305181858911,-87
1305181861492,-92
1305181863660,-87
1305181866361,-87
1305181868757,-87
1305181871285,-89
1305181873807,-89
1305181876202,-86
1305181878652,-88
1305181881243,-88
1305181883668,-88
1305181887751,-87
1305181890457,-88
1305181893711,-87
1305181895718,-87
1305181898585,-87
1305181900844,-87
1305181903359,-86
1305181908631,-86
1305181911462,-87
1305181914063,-87
1305181916501,-85
1305181919030,-86
1305181921717,-87
1305181924335,-86
1305181927115,-85
1305181929545,-86
1305181932034,-90
