starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Wed Jan  5 19:52:18 2011,1294237338.42,1294237341.3,-83,,,,,,-81,,,,,-72,,-75,,-83,
Wed Jan  5 19:52:41 2011,1294237361.37,1294237364.14,,-77,,,,,-82,,,,,,,,-73,,
Wed Jan  5 19:53:04 2011,1294237384.21,1294237387.09,,,,,,,-80,,,,,-82,,-67,,,
Wed Jan  5 19:53:27 2011,1294237407.17,1294237410.05,-82,-74,,,,,-81,,,,,-63,,-80,,,
Wed Jan  5 19:53:50 2011,1294237430.11,1294237432.98,,-74,,,,,-80,,,,,-68,,,-69,,
Wed Jan  5 19:54:33 2011,1294237473.13,1294237476.0,-82,-75,,,,,,,,,,-63,,,,-82,
Wed Jan  5 19:54:56 2011,1294237496.07,1294237498.94,-82,,,,,,,,,,,-71,,-75,,-81,
Wed Jan  5 19:55:19 2011,1294237519.01,1294237521.78,-83,,,,,,,,,,,-64,,-63,,-81,
Wed Jan  5 19:55:41 2011,1294237541.85,1294237544.73,-82,,,,,,-83,,,,,-73,,,,,
Wed Jan  5 19:56:04 2011,1294237564.79,1294237567.67,-82,-76,,,,,,,,,,,,-78,,,
Wed Jan  5 19:56:27 2011,1294237587.74,1294237590.62,-81,,,,,,,,,,,-72,,,-54,-80,
Wed Jan  5 19:56:50 2011,1294237610.68,1294237613.55,-82,,,,,,,,,,,,,,-61,-82,
Wed Jan  5 19:57:33 2011,1294237653.71,1294237656.59,-85,,,,,,-82,,,,,-65,,-72,-65,-84,
Wed Jan  5 19:57:56 2011,1294237676.65,1294237679.43,,-76,,,,,-79,,,,,-69,,-72,-62,,
Wed Jan  5 19:58:19 2011,1294237699.49,1294237702.37,-82,-76,,,,,-81,,,,,-75,,-68,-75,-82,
Wed Jan  5 19:58:42 2011,1294237722.43,1294237725.31,-82,,,,,,-82,,,,,-75,,-75,,-79,
Wed Jan  5 19:59:05 2011,1294237745.38,1294237748.14,-82,-78,,,,,-82,,,,,-70,,-77,-60,,
Wed Jan  5 19:59:28 2011,1294237768.21,1294237770.88,,,,,,,,,,,,,,-75,-69,,
Wed Jan  5 19:59:50 2011,1294237790.95,1294237793.82,-81,-76,,,,,,,,,,-67,,,-68,,
Wed Jan  5 20:00:33 2011,1294237833.97,1294237836.75,-81,,,,,,-81,,,,,-72,,-80,-54,-82,
Wed Jan  5 20:00:56 2011,1294237856.81,1294237859.58,-85,,,,,,-82,,,,,-76,,-67,-63,-81,
Wed Jan  5 20:01:19 2011,1294237879.65,1294237882.42,,-75,,,,,,,,-87,,-68,,-72,,,
Wed Jan  5 20:01:42 2011,1294237902.49,1294237905.26,-83,,,,,,,,,,,-69,,,,-82,
Wed Jan  5 20:02:05 2011,1294237925.33,1294237928.21,-82,,,,,,,,,,,-63,,,-60,,
Wed Jan  5 20:02:28 2011,1294237948.28,1294237951.16,-81,-76,,,,,,,,,,-66,,,,-81,
Wed Jan  5 20:02:51 2011,1294237971.23,1294237974.0,-82,,,,,,,,,,,-66,,-81,,-81,
Wed Jan  5 20:03:34 2011,1294238014.14,1294238016.91,-82,,,,,,-81,,,,,-70,,-72,-70,,
Wed Jan  5 20:03:56 2011,1294238036.97,1294238039.75,-83,,,,,,-80,,,,,-78,-85,-74,,-83,
Wed Jan  5 20:04:19 2011,1294238059.83,1294238062.71,-81,-76,,,,,-81,,,,,-68,,-82,-52,-82,
Wed Jan  5 20:04:42 2011,1294238082.76,1294238085.54,-82,,,,,,,,,,,-62,,-80,,-83,
